Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
01/01/1990,65.73,65.73,65.73,65.73
02/01/1900,68.13,68.13,68.13,68.13
03/01/1900,66.61,66.61,66.61,66.61
04/01/1900,67.15,67.15,67.15,67.15
05/01/1900,66.71,66.71,66.71,66.71
06/01/1900,66.71,66.71,66.71,66.71
07/01/1900,66.71,66.71,66.71,66.71
08/01/1900,66.41,66.41,66.41,66.41
09/01/1900,64.99,64.99,64.99,64.99
10/01/1900,64.14,64.14,64.14,64.14
11/01/1900,63.27,63.27,63.27,63.27
12/01/1900,64.93,64.93,64.93,64.93
13/01/1900,64.93,64.93,64.93,64.93
14/01/1900,64.93,64.93,64.93,64.93
15/01/1900,64.22,64.22,64.22,64.22
16/01/1900,64.29,64.29,64.29,64.29
17/01/1900,64.56,64.56,64.56,64.56
18/01/1900,64.28,64.28,64.28,64.28
19/01/1900,65.29,65.29,65.29,65.29
20/01/1900,65.29,65.29,65.29,65.29
21/01/1900,65.29,65.29,65.29,65.29
22/01/1900,65.37,65.37,65.37,65.37
23/01/1900,64.38,64.38,64.38,64.38
24/01/1900,64.72,64.72,64.72,64.72
25/01/1900,65.05,65.05,65.05,65.05
26/01/1900,64.23,64.23,64.23,64.23
27/01/1900,64.23,64.23,64.23,64.23
28/01/1900,64.23,64.23,64.23,64.23
29/01/1900,64.45,64.45,64.45,64.45
30/01/1900,66.06,66.06,66.06,66.06
31/01/1900,66.13,66.13,66.13,66.13
01/02/1900,67.34,67.34,67.34,67.34
02/02/1900,67.86,67.86,67.86,67.86
03/02/1900,67.86,67.86,67.86,67.86
04/02/1900,67.86,67.86,67.86,67.86
05/02/1900,68.36,68.36,68.36,68.36
06/02/1900,68.03,68.03,68.03,68.03
07/02/1900,67.94,67.94,67.94,67.94
08/02/1900,67.46,67.46,67.46,67.46
09/02/1900,66.86,66.86,66.86,66.86
10/02/1900,66.86,66.86,66.86,66.86
11/02/1900,66.86,66.86,66.86,66.86
12/02/1900,66.86,66.86,66.86,66.86
13/02/1900,67.39,67.39,67.39,67.39
14/02/1900,66.9,66.9,66.9,66.9
15/02/1900,67.08,67.08,67.08,67.08
16/02/1900,66.4,66.4,66.4,66.4
17/02/1900,66.4,66.4,66.4,66.4
18/02/1900,66.4,66.4,66.4,66.4
19/02/1900,66.25,66.25,66.25,66.25
20/02/1900,66.16,66.16,66.16,66.16
21/02/1900,65.59,65.59,65.59,65.59
22/02/1900,65.59,65.59,65.59,65.59
23/02/1900,64.52,64.52,64.52,64.52
24/02/1900,64.52,64.52,64.52,64.52
25/02/1900,64.52,64.52,64.52,64.52
26/02/1900,63.56,63.56,63.56,63.56
27/02/1900,63.35,63.35,63.35,63.35
28/02/1900,63.96,63.96,63.96,63.96
01/03/1900,63.59,63.59,63.59,63.59
02/03/1900,61.95,61.95,61.95,61.95
03/03/1900,61.95,61.95,61.95,61.95
04/03/1900,61.95,61.95,61.95,61.95
05/03/1900,62.12,62.12,62.12,62.12
06/03/1900,61.87,61.87,61.87,61.87
07/03/1900,61.83,61.83,61.83,61.83
08/03/1900,61.39,61.39,61.39,61.39
09/03/1900,61.11,61.11,61.11,61.11
10/03/1900,61.11,61.11,61.11,61.11
11/03/1900,61.11,61.11,61.11,61.11
12/03/1900,63.31,63.31,63.31,63.31
13/03/1900,62.88,62.88,62.88,62.88
14/03/1900,62.03,62.03,62.03,62.03
15/03/1900,61.81,61.81,61.81,61.81
16/03/1900,61.91,61.91,61.91,61.91
17/03/1900,61.91,61.91,61.91,61.91
18/03/1900,61.91,61.91,61.91,61.91
19/03/1900,62.91,62.91,62.91,62.91
20/03/1900,63.45,63.45,63.45,63.45
21/03/1900,64.08,64.08,64.08,64.08
22/03/1900,64.06,64.06,64.06,64.06
23/03/1900,63.67,63.67,63.67,63.67
24/03/1900,63.67,63.67,63.67,63.67
25/03/1900,63.67,63.67,63.67,63.67
26/03/1900,64.06,64.06,64.06,64.06
27/03/1900,64.71,64.71,64.71,64.71
28/03/1900,65.12,65.12,65.12,65.12
29/03/1900,64.07,64.07,64.07,64.07
30/03/1900,65.39,65.39,65.39,65.39
31/03/1900,65.39,65.39,65.39,65.39
01/04/1900,65.39,65.39,65.39,65.39
02/04/1900,65.55,65.55,65.55,65.55
03/04/1900,65.17,65.17,65.17,65.17
04/04/1900,65.11,65.11,65.11,65.11
05/04/1900,65.47,65.47,65.47,65.47
06/04/1900,66.15,66.15,66.15,66.15
07/04/1900,66.15,66.15,66.15,66.15
08/04/1900,66.15,66.15,66.15,66.15
09/04/1900,65.46,65.46,65.46,65.46
10/04/1900,64.55,64.55,64.55,64.55
11/04/1900,64.78,64.78,64.78,64.78
12/04/1900,64.4,64.4,64.4,64.4
13/04/1900,64.4,64.4,64.4,64.4
14/04/1900,64.4,64.4,64.4,64.4
15/04/1900,64.4,64.4,64.4,64.4
16/04/1900,61.55,61.55,61.55,61.55
17/04/1900,61.8,61.8,61.8,61.8
18/04/1900,61.82,61.82,61.82,61.82
19/04/1900,62.38,62.38,62.38,62.38
20/04/1900,62.2,62.2,62.2,62.2
21/04/1900,62.2,62.2,62.2,62.2
22/04/1900,62.2,62.2,62.2,62.2
23/04/1900,61.19,61.19,61.19,61.19
24/04/1900,61.69,61.69,61.69,61.69
25/04/1900,61.89,61.89,61.89,61.89
26/04/1900,63.05,63.05,63.05,63.05
27/04/1900,62.25,62.25,62.25,62.25
28/04/1900,62.25,62.25,62.25,62.25
29/04/1900,62.25,62.25,62.25,62.25
30/04/1900,61.33,61.33,61.33,61.33
01/05/1900,61.32,61.32,61.32,61.32
02/05/1900,61.05,61.05,61.05,61.05
03/05/1900,61.02,61.02,61.02,61.02
04/05/1900,61.18,61.18,61.18,61.18
05/05/1900,61.18,61.18,61.18,61.18
06/05/1900,61.18,61.18,61.18,61.18
07/05/1900,60.62,60.62,60.62,60.62
08/05/1900,59.26,59.26,59.26,59.26
09/05/1900,59.94,59.94,59.94,59.94
10/05/1900,60.1,60.1,60.1,60.1
11/05/1900,58.62,58.62,58.62,58.62
12/05/1900,58.62,58.62,58.62,58.62
13/05/1900,58.62,58.62,58.62,58.62
14/05/1900,57.55,57.55,57.55,57.55
15/05/1900,56.62,56.62,56.62,56.62
16/05/1900,57.12,57.12,57.12,57.12
17/05/1900,56.76,56.76,56.76,56.76
18/05/1900,57.76,57.76,57.76,57.76
