Dates,CLG0_PX_LAST,CLG0_PX_OPEN,CLG0_PX_LOW,CLG0_PX_HIGH
11/20/2014,80.05,#N/A N/A,#N/A N/A,#N/A N/A
11/21/2014,80.92,#N/A N/A,#N/A N/A,#N/A N/A
11/24/2014,80.63,#N/A N/A,#N/A N/A,#N/A N/A
11/25/2014,80.22,#N/A N/A,#N/A N/A,#N/A N/A
11/26/2014,80.7,#N/A N/A,#N/A N/A,#N/A N/A
11/28/2014,77.49,#N/A N/A,#N/A N/A,#N/A N/A
12/1/2014,79.27,#N/A N/A,#N/A N/A,#N/A N/A
12/2/2014,78.04,#N/A N/A,#N/A N/A,#N/A N/A
12/3/2014,77.95,#N/A N/A,#N/A N/A,#N/A N/A
12/4/2014,76.17,#N/A N/A,#N/A N/A,#N/A N/A
12/5/2014,74.66,#N/A N/A,#N/A N/A,#N/A N/A
12/8/2014,72.49,#N/A N/A,#N/A N/A,#N/A N/A
12/9/2014,72.66,#N/A N/A,#N/A N/A,#N/A N/A
12/10/2014,71.22,#N/A N/A,#N/A N/A,#N/A N/A
12/11/2014,71.07,#N/A N/A,#N/A N/A,#N/A N/A
12/12/2014,69.1,#N/A N/A,#N/A N/A,#N/A N/A
12/15/2014,67.64,#N/A N/A,#N/A N/A,#N/A N/A
12/16/2014,66.53,#N/A N/A,#N/A N/A,#N/A N/A
12/17/2014,66.98,#N/A N/A,#N/A N/A,#N/A N/A
12/18/2014,67.56,#N/A N/A,#N/A N/A,#N/A N/A
12/19/2014,70.41,#N/A N/A,#N/A N/A,#N/A N/A
12/22/2014,70.24,#N/A N/A,#N/A N/A,#N/A N/A
12/23/2014,71.5,#N/A N/A,#N/A N/A,#N/A N/A
12/24/2014,71.71,#N/A N/A,#N/A N/A,#N/A N/A
12/26/2014,71.34,#N/A N/A,#N/A N/A,#N/A N/A
12/29/2014,70.52,#N/A N/A,#N/A N/A,#N/A N/A
12/30/2014,70.43,#N/A N/A,#N/A N/A,#N/A N/A
12/31/2014,70.34,#N/A N/A,#N/A N/A,#N/A N/A
1/2/2015,69.84,#N/A N/A,#N/A N/A,#N/A N/A
1/5/2015,68.51,#N/A N/A,#N/A N/A,#N/A N/A
1/6/2015,66.75,#N/A N/A,#N/A N/A,#N/A N/A
1/7/2015,66.17,#N/A N/A,#N/A N/A,#N/A N/A
1/8/2015,66.19,#N/A N/A,#N/A N/A,#N/A N/A
1/9/2015,67.42,#N/A N/A,#N/A N/A,#N/A N/A
1/12/2015,66.72,#N/A N/A,#N/A N/A,#N/A N/A
1/13/2015,67.43,#N/A N/A,#N/A N/A,#N/A N/A
1/14/2015,67.92,#N/A N/A,#N/A N/A,#N/A N/A
1/15/2015,65.69,#N/A N/A,#N/A N/A,#N/A N/A
1/16/2015,66.9,#N/A N/A,#N/A N/A,#N/A N/A
1/20/2015,65.46,#N/A N/A,#N/A N/A,#N/A N/A
1/21/2015,65.91,#N/A N/A,#N/A N/A,#N/A N/A
1/22/2015,65.31,#N/A N/A,#N/A N/A,#N/A N/A
1/23/2015,65.74,#N/A N/A,#N/A N/A,#N/A N/A
1/26/2015,65.49,#N/A N/A,#N/A N/A,#N/A N/A
1/27/2015,66.54,#N/A N/A,#N/A N/A,#N/A N/A
1/28/2015,65.9,#N/A N/A,#N/A N/A,#N/A N/A
1/29/2015,66.96,#N/A N/A,#N/A N/A,#N/A N/A
1/30/2015,69.21,#N/A N/A,#N/A N/A,#N/A N/A
2/2/2015,69.75,#N/A N/A,#N/A N/A,#N/A N/A
2/3/2015,71.1,#N/A N/A,#N/A N/A,#N/A N/A
2/4/2015,69.42,#N/A N/A,#N/A N/A,#N/A N/A
2/5/2015,70.13,#N/A N/A,#N/A N/A,#N/A N/A
2/6/2015,69.4,#N/A N/A,#N/A N/A,#N/A N/A
2/9/2015,69.82,#N/A N/A,#N/A N/A,#N/A N/A
2/10/2015,69.19,#N/A N/A,#N/A N/A,#N/A N/A
2/11/2015,69.45,#N/A N/A,#N/A N/A,#N/A N/A
2/12/2015,70.57,#N/A N/A,#N/A N/A,#N/A N/A
2/13/2015,69.63,#N/A N/A,#N/A N/A,#N/A N/A
2/17/2015,69.27,#N/A N/A,#N/A N/A,#N/A N/A
2/18/2015,68.97,#N/A N/A,#N/A N/A,#N/A N/A
2/19/2015,68.37,#N/A N/A,#N/A N/A,#N/A N/A
2/20/2015,69.44,#N/A N/A,#N/A N/A,#N/A N/A
2/23/2015,69.27,#N/A N/A,#N/A N/A,#N/A N/A
2/24/2015,69.79,#N/A N/A,#N/A N/A,#N/A N/A
2/25/2015,70.41,#N/A N/A,#N/A N/A,#N/A N/A
2/26/2015,70.08,#N/A N/A,#N/A N/A,#N/A N/A
2/27/2015,70.04,#N/A N/A,#N/A N/A,#N/A N/A
3/2/2015,69.63,#N/A N/A,#N/A N/A,#N/A N/A
3/3/2015,70.16,#N/A N/A,#N/A N/A,#N/A N/A
