Dates,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SP1_PX_LAST,SP1_PX_OPEN,SP1_PX_HIGH,SP1_PX_LOW
01/01/2010,1115.1,1126.6,1127.64,1114.81,1110.7,1121.3,1125,1110
01/04/2010,1132.98,1116.56,1133.87,1116.56,1128.8,1113.2,1129.8,1113.2
01/05/2010,1136.52,1132.66,1136.63,1129.66,1132.3,1128.4,1132.8,1125.2
01/06/2010,1137.14,1135.71,1139.19,1133.95,1133,1132,1135.5,1127.4
01/07/2010,1141.69,1136.27,1142.46,1131.32,1137.5,1132.9,1138.7,1127.2
01/08/2010,1144.98,1140.52,1145.39,1136.22,1141.6,1137.4,1143,1131
01/11/2010,1146.98,1145.96,1149.74,1142.02,1142.5,1141.6,1147.9,1138
01/12/2010,1136.22,1143.81,1143.81,1131.77,1133.9,1140.9,1142.8,1127.8
1/13/2010,1145.68,1137.31,1148.4,1133.18,1141.6,1134,1145,1129.3
1/14/2010,1148.46,1145.68,1150.41,1143.8,1145.2,1141.4,1147,1138.4
1/15/2010,1136.03,1147.72,1147.77,1131.39,1132.3,1146.4,1147,1127.5
1/18/2010,1136.03,1147.72,1147.77,1131.39,1132.3,1146.4,1147,1127.5
1/19/2010,1150.23,1136.03,1150.45,1135.77,1145.7,1136.5,1147,1126.4
1/20/2010,1138.04,1147.95,1147.95,1129.25,1134,1144.8,1146.4,1125.3
1/21/2010,1116.48,1138.68,1141.58,1114.84,1111.1,1134.9,1139,1108.5
1/22/2010,1091.76,1115.49,1115.49,1090.18,1091,1110.1,1115.7,1086.5
1/25/2010,1096.79,1092.4,1102.97,1092.4,1092.6,1093.2,1103,1089.8
1/26/2010,1092.17,1095.8,1103.69,1089.86,1087.2,1093.7,1100,1081
1/27/2010,1097.5,1091.94,1099.51,1083.11,1094.6,1087.4,1096,1079
1/28/2010,1084.53,1096.93,1100.22,1078.46,1079.2,1094.6,1103.3,1074.5
1/29/2010,1073.87,1087.61,1096.45,1071.59,1070.4,1080.3,1093,1066.7
02/01/2010,1089.19,1073.89,1089.38,1073.89,1086.3,1069.7,1086.7,1068.5
02/02/2010,1103.32,1090.05,1104.73,1087.96,1097.2,1086.1,1101.5,1082
02/03/2010,1097.28,1100.67,1102.72,1093.97,1096.4,1097.4,1100,1090.5
02/04/2010,1063.11,1097.25,1097.25,1062.78,1061.7,1096.2,1098.2,1059.3
02/05/2010,1066.19,1064.12,1067.13,1044.5,1059.8,1061.8,1064.8,1041
02/08/2010,1056.74,1065.51,1071.2,1056.51,1055.9,1061.9,1068.3,1053.2
02/09/2010,1070.52,1060.06,1079.28,1060.06,1066.2,1055.1,1076.5,1054.5
02/10/2010,1068.13,1069.68,1073.67,1059.34,1063.3,1066.7,1072.4,1056.2
02/11/2010,1078.47,1067.1,1080.04,1060.59,1076.6,1063.5,1077.9,1057.6
02/12/2010,1075.51,1075.95,1077.81,1062.97,1079.1,1076.1,1079.6,1060.5
2/15/2010,1075.51,1075.95,1077.81,1062.97,1079.1,1076.1,1079.6,1060.5
2/16/2010,1094.87,1079.13,1095.67,1079.13,1093.2,1076.7,1093.9,1073.7
2/17/2010,1099.51,1096.14,1101.03,1094.72,1099.6,1093.3,1100,1092.7
2/18/2010,1106.75,1099.03,1108.24,1097.48,1105.6,1099.6,1106.7,1093.1
2/19/2010,1109.17,1105.49,1112.42,1100.8,1106.2,1105.5,1111,1092.6
2/22/2010,1108.02,1110,1112.29,1105.38,1107.5,1105.7,1112.7,1103.6
2/23/2010,1094.6,1107.49,1108.58,1092.18,1097.2,1107,1112.6,1090.4
2/24/2010,1105.24,1095.89,1106.42,1095.5,1103.6,1096.8,1105.2,1092.6
2/25/2010,1102.94,1101.24,1103.5,1086.02,1102.3,1102.7,1103.5,1084.7
2/26/2010,1104.49,1103.1,1107.24,1097.56,1103.4,1101.8,1107.1,1096.5
03/01/2010,1115.71,1105.36,1116.11,1105.36,1114.6,1106.6,1115,1104.4
03/02/2010,1118.31,1117.01,1123.46,1116.51,1117.4,1114.2,1123,1112.8
03/03/2010,1118.79,1119.36,1125.64,1116.58,1118.6,1117.3,1124.9,1115.2
03/04/2010,1122.97,1119.12,1123.73,1116.66,1122.3,1118.3,1123.3,1113.5
03/05/2010,1138.7,1125.12,1139.38,1125.12,1136.5,1121.9,1138.7,1121.9
03/08/2010,1138.51,1138.4,1141.05,1136.77,1137.1,1135.9,1140.5,1135
03/09/2010,1140.45,1137.56,1145.37,1134.9,1140.5,1137.1,1144.9,1131.7
03/10/2010,1145.61,1140.22,1148.26,1140.09,1145.7,1140.1,1147.9,1138
03/11/2010,1150.24,1143.96,1150.24,1138.99,1150.6,1145.5,1151.5,1138.8
03/12/2010,1149.99,1151.71,1153.41,1146.97,1151.3,1154.8,1155,1147
3/15/2010,1150.51,1148.53,1150.98,1141.45,1150.3,1148,1150.7,1141.5
3/16/2010,1159.46,1150.83,1160.28,1150.35,1159.5,1153.5,1160.2,1150.5
3/17/2010,1166.21,1159.94,1169.84,1159.94,1165.7,1162.8,1170,1162.5
3/18/2010,1165.83,1166.13,1167.77,1161.16,1166.1,1166.3,1167.5,1161.3
3/19/2010,1159.9,1166.68,1169.2,1155.33,1156.3,1161.3,1164.8,1150.5
3/22/2010,1165.81,1157.25,1167.82,1152.88,1162,1151.8,1163.3,1147
3/23/2010,1174.17,1166.47,1174.72,1163.83,1169.6,1161.9,1170.5,1159.2
3/24/2010,1167.72,1172.7,1173.04,1166.01,1164.6,1169.2,1170,1161.2
3/25/2010,1165.73,1170.03,1180.69,1165.09,1162.7,1164,1176.2,1160.3
3/26/2010,1166.59,1167.58,1173.93,1161.48,1163.5,1161.5,1169.6,1156.8
3/29/2010,1173.22,1167.71,1174.85,1167.71,1168.8,1164.5,1170.8,1164.3
3/30/2010,1173.27,1173.75,1177.83,1168.92,1169.4,1168.6,1173.5,1164.5
3/31/2010,1169.43,1171.75,1174.56,1165.77,1165.2,1169.2,1170.5,1161.3
04/01/2010,1178.1,1171.23,1181.43,1170.69,1173.7,1167,1177,1165.9
04/02/2010,1178.1,1171.23,1181.43,1170.69,1173.7,1167,1177,1165.9
04/05/2010,1187.44,1178.71,1187.73,1178.71,1183.1,1178.8,1183.8,1174.7
04/06/2010,1189.44,1186.01,1191.8,1182.77,1185.8,1182.9,1187.8,1177.3
04/07/2010,1182.45,1188.23,1189.6,1177.25,1179,1185.7,1186,1173.5
04/08/2010,1186.44,1181.75,1188.55,1175.12,1183.7,1178.8,1185,1171.3
04/09/2010,1194.37,1187.47,1194.66,1187.15,1192.6,1183.7,1193,1183
04/12/2010,1196.48,1194.94,1199.2,1194.71,1192.6,1194.6,1198.2,1190.8
4/13/2010,1197.3,1195.94,1199.04,1188.82,1193.1,1192.3,1195.5,1185.2
4/14/2010,1210.65,1198.69,1210.65,1198.69,1206.6,1195.3,1207,1194.5
4/15/2010,1211.67,1210.77,1213.92,1208.5,1208.5,1206.3,1210.4,1201.3
4/16/2010,1192.13,1210.17,1210.17,1186.77,1190.3,1208.2,1208.4,1182.7
4/19/2010,1197.52,1192.06,1197.87,1183.68,1195.6,1186.3,1196,1180
4/20/2010,1207.17,1199.04,1208.58,1199.04,1205.4,1195.8,1205.6,1194.2
4/21/2010,1205.94,1207.16,1210.99,1198.85,1200.4,1205.1,1209.4,1195.3
4/22/2010,1208.67,1202.52,1210.27,1190.19,1201.7,1197.5,1207,1186.7
4/23/2010,1217.28,1207.87,1217.28,1205.1,1212.3,1201.4,1213.8,1197.7
4/26/2010,1212.05,1217.07,1219.8,1211.07,1208.2,1211.8,1216.7,1207.6
4/27/2010,1183.71,1209.92,1211.38,1181.62,1181,1207.9,1209.9,1177.8
4/28/2010,1191.36,1184.59,1195.05,1181.81,1190.1,1181.3,1191.7,1176.8
4/29/2010,1206.78,1193.3,1209.36,1193.3,1205.3,1189.5,1206.4,1188.1
4/30/2010,1186.69,1206.77,1207.99,1186.32,1183.4,1205.5,1207.8,1183
05/03/2010,1202.26,1188.58,1205.13,1188.58,1198.6,1184.2,1202,1183.8
05/04/2010,1173.6,1197.5,1197.5,1168.12,1172.4,1198.3,1199.6,1164
05/05/2010,1165.9,1169.24,1175.95,1158.15,1163.9,1171.1,1174.8,1155
05/06/2010,1128.15,1164.38,1167.58,1065.79,1122.4,1163.8,1168.7,1060
05/07/2010,1110.88,1127.04,1135.13,1094.15,1107,1124.3,1136.5,1091
05/10/2010,1159.73,1122.27,1163.85,1122.27,1156.6,1125.6,1162,1121.9
05/11/2010,1155.79,1156.39,1170.48,1147.71,1152.2,1155.9,1168.5,1140.5
05/12/2010,1171.67,1155.43,1172.87,1155.43,1169.7,1151.7,1171,1140
5/13/2010,1157.44,1170.04,1173.57,1156.14,1156.8,1168.4,1174.5,1154
5/14/2010,1135.68,1157.19,1157.19,1126.14,1135.3,1155.7,1159.5,1124
5/17/2010,1136.94,1136.52,1141.88,1114.96,1134.5,1133.1,1140.2,1113
5/18/2010,1120.8,1138.78,1148.66,1117.2,1118.7,1135.4,1147,1115.3
5/19/2010,1115.05,1119.57,1124.27,1100.66,1109.9,1117.9,1122.8,1099
5/20/2010,1071.59,1107.34,1107.34,1071.58,1070,1111.5,1115.6,1067
5/21/2010,1087.69,1067.26,1090.16,1055.9,1084.6,1068.9,1088.8,1051.5
5/24/2010,1073.65,1084.78,1089.95,1072.7,1071,1085,1088.5,1070.2
5/25/2010,1074.03,1067.42,1074.75,1040.78,1073,1069.1,1074.5,1036.6
5/26/2010,1067.95,1075.51,1090.75,1065.59,1061.2,1072.4,1089.5,1060.5
5/27/2010,1103.06,1074.27,1103.52,1074.27,1101.1,1060,1103,1056.1
5/28/2010,1089.41,1102.59,1102.59,1084.78,1088.5,1100.4,1106.7,1083.3
5/31/2010,1089.41,1102.59,1102.59,1084.78,1088.5,1100.4,1106.7,1083.3
06/01/2010,1070.71,1087.3,1094.77,1069.89,1069.5,1091,1095.7,1068.5
06/02/2010,1098.38,1073.01,1098.56,1072.03,1096.7,1069,1098.5,1067.1
06/03/2010,1102.83,1098.82,1105.67,1091.81,1103.6,1097,1105,1091
06/04/2010,1064.88,1098.43,1098.43,1060.5,1066.1,1103.5,1107.5,1059.5
06/07/2010,1050.47,1065.84,1071.36,1049.86,1048,1063.7,1070.7,1047.5
06/08/2010,1062,1050.81,1063.15,1042.17,1059.2,1048.6,1063.3,1041.2
06/09/2010,1055.69,1062.75,1077.74,1052.25,1055.5,1060.2,1077.2,1051.7
06/10/2010,1086.84,1058.77,1087.85,1058.77,1083.8,1054.8,1088,1052.2
06/11/2010,1091.6,1082.65,1092.25,1077.12,1089.2,1076,1092,1076
6/14/2010,1089.63,1095,1105.91,1089.03,1090.5,1099.5,1105.7,1089
6/15/2010,1115.23,1091.21,1115.59,1091.21,1113.5,1097,1115.3,1096
6/16/2010,1114.61,1114.02,1118.74,1107.13,1113.9,1108.5,1118.5,1107.5
6/17/2010,1116.04,1115.98,1117.72,1105.87,1116.3,1118,1118,1106
6/18/2010,1117.51,1116.16,1121.01,1113.93,1110.2,1110.7,1116.5,1108.3
6/21/2010,1113.2,1122.79,1131.23,1108.24,1110.6,1117,1129.2,1103.5
6/22/2010,1095.31,1113.9,1118.5,1094.18,1090.5,1110.7,1117,1089.5
6/23/2010,1092.04,1095.57,1099.64,1085.31,1087.4,1092,1097.5,1080.2
6/24/2010,1073.69,1090.93,1090.93,1071.6,1070.5,1086.5,1090.7,1066.5
6/25/2010,1076.77,1075.1,1083.56,1067.89,1074.7,1070,1079.1,1063
6/28/2010,1074.57,1077.5,1082.6,1071.45,1070.9,1074.8,1079.4,1067
6/29/2010,1041.24,1071.1,1071.1,1035.18,1035.3,1070.4,1074.5,1030.25
6/30/2010,1030.71,1040.56,1048.08,1028.33,1026.6,1035.1,1044.4,1023.2
07/01/2010,1027.37,1031.1,1033.58,1010.91,1021.8,1024.4,1029.4,1006.5
07/02/2010,1022.58,1027.65,1032.95,1015.93,1014.3,1022.4,1032.7,1011
07/05/2010,1022.58,1027.65,1032.95,1015.93,1014.3,1022.4,1032.7,1011
07/06/2010,1028.06,1028.09,1042.5,1018.35,1024.2,1011.8,1038.3,1003.1
07/07/2010,1060.27,1028.54,1060.89,1028.54,1059.3,1024.1,1059.5,1016.3
