Dates,SPY_PX_LAST,SPY_PX_OPEN,SPY_PX_LOW,SPY_PX_HIGH
01/04/2010,113.33,112.37,111.51,113.39
01/05/2010,113.63,113.26,112.85,113.68
01/06/2010,113.71,113.52,113.43,113.99
01/07/2010,114.19,113.5,113.18,114.33
01/08/2010,114.57,113.89,113.66,114.62
01/11/2010,114.73,115.08,114.235,115.13
01/12/2010,113.66,113.97,113.22,114.21
1/13/2010,114.62,113.95,113.37,114.94
1/14/2010,114.93,114.49,114.42,115.14
1/15/2010,113.64,114.73,113.2,114.84
1/19/2010,115.06,113.62,113.59,115.13
1/20/2010,113.89,114.28,112.98,114.45
1/21/2010,111.7,113.92,111.56,114.27
1/22/2010,109.21,111.2,109.09,111.7416
1/25/2010,109.77,110.21,109.41,110.41
1/26/2010,109.31,109.34,109.04,110.47
1/27/2010,109.83,109.17,108.33,110.08
1/28/2010,108.57,110.19,107.91,110.25
1/29/2010,107.39,109.04,107.22,109.8
02/01/2010,109.06,108.15,107.5008,109.07
02/02/2010,110.38,109.26,108.88,110.59
02/03/2010,109.83,109.88,109.51,110.4815
02/04/2010,106.44,108.98,106.42,109.03
02/05/2010,106.66,106.56,104.58,106.88
02/08/2010,105.89,106.74,105.8099,107.33
02/09/2010,107.22,107.13,106.27,108.15
02/10/2010,107.01,107.05,106.11,107.6
02/11/2010,108.13,106.87,106.25,108.25
02/12/2010,108.04,106.99,106.51,108.1012
2/16/2010,109.74,108.86,108.42,109.85
2/17/2010,110.26,110.27,109.74,110.41
2/18/2010,110.91,110.08,110.035,111.14
2/19/2010,111.14,110.62,110.36,111.57
2/22/2010,111.16,111.55,110.83,111.58
2/23/2010,109.81,110.86,109.52,111.2
2/24/2010,110.82,110.14,109.86,111
2/25/2010,110.67,109.24,108.94,110.75
2/26/2010,110.74,110.77,110.11,111.12
03/01/2010,111.89,111.2,111.17,112
03/02/2010,112.2,112.37,112,112.74
03/03/2010,112.3,112.49,112.02,112.97
03/04/2010,112.641,112.45,112.03,112.8
03/05/2010,114.25,113.37,113.1,114.34
03/08/2010,114.27,114.26,114.07,114.52
03/09/2010,114.46,113.93,113.87,114.99
03/10/2010,114.97,114.51,114.41,115.275
03/11/2010,115.45,114.7,114.35,115.48
03/12/2010,115.46,115.95,115.14,115.97
3/15/2010,115.49,115.26,114.6,115.575
3/16/2010,116.41,115.81,115.49,116.52
3/17/2010,117.1,116.76,116.4198,117.48
3/18/2010,117.0375,117.11,116.57,117.27
3/19/2010,115.97,116.96,115.52,117.293
3/22/2010,116.5925,115.31,115.24,116.8
3/23/2010,117.41,116.76,116.38,117.51
3/24/2010,116.84,116.97,115.58,117.4264
3/25/2010,116.65,117.63,116.51,118.1666
3/26/2010,116.582,116.87,116.12,117.42
3/29/2010,117.32,117.1699,116.6886,117.53
3/30/2010,117.4,117.46,116.91,117.83
3/31/2010,117,116.95,116.61,117.52
04/01/2010,117.8,117.8,117.1,118.25
04/05/2010,118.76,118.25,117.92,118.84
04/06/2010,119.04,118.42,118.29,119.25
04/07/2010,118.36,118.8,117.81,119.3567
04/08/2010,118.7725,117.95,117.6,118.97
04/09/2010,119.55,119.02,118.8,119.6
04/12/2010,119.74,119.7,119.56,120.05
4/13/2010,119.83,119.62,119,120.04
4/14/2010,121.19,120.27,120.08,121.19
4/15/2010,121.29,120.99,120.95,121.5654
4/16/2010,119.36,120.86,118.75,121.285
4/19/2010,119.81,119.01,118.47,119.93
4/20/2010,120.88,120.56,119.871,120.98
4/21/2010,120.66,120.95,119.99,121.23
4/22/2010,121.02,119.81,119.12,121.17
4/23/2010,121.8125,120.94,120.63,121.86
4/26/2010,121.35,121.85,121.23,122.12
4/27/2010,118.48,120.65,118.25,121.3346
4/28/2010,119.38,119.05,118.27,119.68
4/29/2010,120.8575,120.1,120.07,121.11
4/30/2010,118.8125,120.88,118.78,121.01
05/03/2010,120.35,119.38,119.2,120.68
05/04/2010,117.52,119.01,116.92,119.03
05/05/2010,116.82,116.56,115.97,117.8
05/06/2010,112.942,116.26,105,117
05/07/2010,111.26,112.64,109.41,113.77
05/10/2010,116.16,115.81,114.91,116.65
05/11/2010,115.83,115.07,114.91,117.36
05/12/2010,117.45,116.29,116.09,117.62
5/13/2010,115.99,117.13,115.89,117.68
5/14/2010,113.89,115.12,112.87,115.33
5/17/2010,113.95,114.2,111.77,114.52
5/18/2010,112.4,114.88,112.03,115.22
5/19/2010,111.76,111.77,110.36,112.77
5/20/2010,107.54,109.38,107.47,109.89
5/21/2010,109.115,105.91,105.3612,109.38
5/24/2010,107.71,108.52,107.61,109.39
5/25/2010,107.818,105.11,104.38,107.87
5/26/2010,107.17,108.48,106.85,109.47
5/27/2010,110.76,109.19,108.7801,110.8
5/28/2010,109.369,110.64,108.85,110.724
06/01/2010,107.53,108.35,107.37,109.95
06/02/2010,110.33,108.08,107.5091,110.34
06/03/2010,110.71,110.65,109.58,111.06
06/04/2010,106.82,108.61,106.465,109.33
06/07/2010,105.49,107.2,105.41,107.61
06/08/2010,106.62,105.57,104.65,106.83
06/09/2010,106.05,107.24,105.6,108.28
06/10/2010,109.15,107.86,106.0426,109.28
06/11/2010,109.68,108.19,108.12,109.75
6/14/2010,109.509,110.52,109.4,111.12
6/15/2010,112,110.28,110.09,112.1
6/16/2010,111.96,111.42,111.2,112.42
6/17/2010,112.14,112.28,111.05,112.33
6/18/2010,111.729,111.83,111.37,112.13
6/21/2010,111.41,113.12,110.79,113.2
6/22/2010,109.57,111.41,109.41,111.9
6/23/2010,109.23,109.64,108.48,110.03
6/24/2010,107.42,108.69,107.14,108.83
6/25/2010,107.8675,107.74,106.77,108.42
6/28/2010,107.53,108.03,107.14,108.32
6/29/2010,104.21,106.02,103.55,107.5114
6/30/2010,103.22,103.92,102.88,104.88
07/01/2010,102.76,103.15,101.13,103.49
07/02/2010,102.2,103.11,101.62,103.42
07/06/2010,102.87,103.64,101.88,104.37
07/07/2010,106.1075,103.13,103.02,106.24
07/08/2010,107.16,107,105.91,107.28
07/09/2010,107.96,107.13,106.93,107.97
07/12/2010,108.03,107.6,107.15,108.24
7/13/2010,109.66,109.15,108.93,110.09
7/14/2010,109.651,109.31,108.86,110.08
7/15/2010,109.68,109.61,108.17,110.06
7/16/2010,106.66,109.09,106.45,109.2059
7/19/2010,107.29,107.05,106.22,107.63
7/20/2010,108.48,105.87,105.82,108.56
7/21/2010,107.07,109.04,106.63,109.07
7/22/2010,109.461,108.34,108.33,109.94
7/23/2010,110.41,109.24,108.93,110.57
7/26/2010,111.56,110.6,110.29,111.67
7/27/2010,111.55,112.17,111.11,112.29
7/28/2010,110.83,111.32,110.46,111.66
7/29/2010,110.29,111.52,109.41,111.82
7/30/2010,110.27,109.17,108.98,110.86
08/02/2010,112.76,111.99,111.54,112.94
08/03/2010,112.22,112.48,111.85,112.77
08/04/2010,112.97,112.53,112.16,113.11
08/05/2010,112.85,112.25,112.08,112.91
08/06/2010,112.392,111.74,110.92,112.57
08/09/2010,112.992,112.92,112.32,113.18
08/10/2010,112.375,112.03,111.3701,112.98
08/11/2010,109.3,110.65,109.12,110.69
08/12/2010,108.63,107.65,107.6,109.02
8/13/2010,108.31,108.29,108.18,108.96
8/16/2010,108.26,107.57,107.18,108.61
8/17/2010,109.59,109.19,108.88,110.39
8/18/2010,109.79,109.54,108.91,110.38
8/19/2010,107.88,109.22,107.43,109.49
8/20/2010,107.53,107.56,106.7499,107.9376
8/23/2010,107.1236,108.04,107.07,108.57
8/24/2010,105.53,105.95,104.97,106.39
8/25/2010,105.94,104.95,104.29,106.34
8/26/2010,105.23,106.44,104.88,106.58
8/27/2010,106.86,105.89,104.31,106.97
8/30/2010,105.311,106.58,105.3,106.91
8/31/2010,105.31,104.92,104.49,105.98
09/01/2010,108.46,106.73,106.66,108.61
09/02/2010,109.47,108.72,108.49,109.49
09/03/2010,110.89,110.54,109.95,110.99
09/07/2010,109.64,110.37,109.55,110.51
09/08/2010,110.41,109.86,109.81,110.85
09/09/2010,110.92,111.65,110.62,111.68
09/10/2010,111.482,111.12,110.87,111.61
9/13/2010,112.72,112.58,112.13,112.95
9/14/2010,112.65,112.5,112.08,113.29
9/15/2010,113.08,112.32,111.98,113.21
9/16/2010,113.05,112.73,112.35,113.12
9/17/2010,112.49,113.04,112.18,113.15
9/20/2010,114.21,112.88,112.5216,114.46
9/21/2010,113.98,114.3,113.51,114.84
9/22/2010,113.42,113.8,113.1,114.44
9/23/2010,112.498,112.49,112.18,113.67
9/24/2010,114.82,113.75,113.65,114.9
9/27/2010,114.27,114.86,114.16,114.99
9/28/2010,114.67,114.42,113.18,115.04
9/29/2010,114.47,114.38,114.02,114.91
9/30/2010,114.13,115.05,113.59,115.79
10/01/2010,114.61,114.99,113.93,115.12
10/04/2010,113.75,114.37,113.18,114.85
10/05/2010,116.04,114.8,114.67,116.32
10/06/2010,116.03,116.02,115.56,116.33
10/07/2010,115.89,116.5,115.19,116.53
10/08/2010,116.5375,116.05,115.61,116.86
10/11/2010,116.65,116.72,116.25,116.97
10/12/2010,117.01,116.27,115.65,117.35
10/13/2010,117.92,117.66,117.38,118.55
10/14/2010,117.46,117.8099,116.72,118.01
10/15/2010,117.7,118.28,116.76,118.35
10/18/2010,118.28,117.74,117.31,118.67
10/19/2010,116.73,117.19,116.02,117.85
10/20/2010,117.87,116.94,116.87,118.44
10/21/2010,118.13,118.4,117.21,119.09
10/22/2010,118.347,118.31,118,118.53
10/25/2010,118.7,119.14,118.61,119.76
10/26/2010,118.72,118.1,117.87,118.84
10/27/2010,118.38,117.89,117.26,118.51
10/28/2010,118.4,119.06,117.83,119.11
10/29/2010,118.49,118.28,118.07,118.72
11/01/2010,118.53,119.07,117.85,119.75
11/02/2010,119.475,119.42,119.1,119.75
11/03/2010,119.95,119.675,118.45,120.02
11/04/2010,122.26,121.28,119.9724,122.32
11/05/2010,122.725,122.34,122.18,122.92
11/08/2010,122.49,122.34,121.94,122.69
11/09/2010,121.61,122.82,121.12,122.95
11/10/2010,122.1,121.58,120.66,122.16
11/11/2010,121.635,121.05,120.68,121.82
11/12/2010,120.198,120.82,119.65,121.35
11/15/2010,120.03,120.58,119.98,121.05
11/16/2010,118.16,119.29,117.59,119.49
11/17/2010,118.218,118.21,117.86,118.71
11/18/2010,119.9575,119.36,119.35,120.39
11/19/2010,120.29,119.9,119.25,120.34
11/22/2010,120.19,119.69,118.77,120.24
11/23/2010,118.4475,118.77,117.99,119.015
11/24/2010,120.2,119.2,119.18,120.23
11/26/2010,118.8,119.16,118.8,119.81
11/29/2010,119.162,118.5,117.74,119.48
11/30/2010,118.4925,117.98,117.81,119.17
12/01/2010,121.01,120.2,120.19,121.24
12/02/2010,122.56,121.2,121.13,122.65
12/03/2010,122.89,122.14,122.11,123.03
12/06/2010,122.76,122.63,122.5,123.04
12/07/2010,122.83,123.94,122.76,124.01
12/08/2010,123.28,122.98,122.41,123.38
12/09/2010,123.76,123.97,123.15,124.02
12/10/2010,124.48,124.14,123.73,124.6
12/13/2010,124.56,125.05,124.52,125.2
12/14/2010,124.67,124.75,124.29,125.23
