date,time_m,ex,sym_root,sym_suffix,bid,bidsiz,ask,qu_cond,bidex,askex,natbbo_ind,nasdbbo_ind,tr_scond,size,price,tr_source
2015-08-24,09:34:58.5738560,Z,AIG   ,          ,54,1,55.039999999999999,R,Z,Z,0,2,@   ,100,54.259999999999998,C
2015-08-24,09:34:58.5738750,T,AIG   ,          ,54,7,54.259999999999998,R,T,T,6,2,@   ,100,54.259999999999998,C
2015-08-24,09:38:13.4106880,P,AIG   ,          ,55.450000000000003,2,55.590000000000003,R,P,P,0,2,@   ,200,55.450000000000003,C
2015-08-24,09:38:58.0387620,J,AIG   ,          ,55.369999999999997,9,56.82,R,J,J,0,2,@   ,100,56.07,C
2015-08-24,09:39:25.1037000,P,AIG   ,          ,56.240000000000002,10,56.490000000000002,R,P,P,0,2,@   ,1000,56.240000000000002,C
2015-08-24,09:39:47.1045970,T,AIG   ,          ,54.539999999999999,1,55.189999999999998,R,T,T,6,2,F   ,100,55.149999999999999,C
2015-08-24,09:39:47.2847040,B,AIG   ,          ,54.710000000000001,1,55.509999999999998,R,B,B,0,2,@   ,100,55.039999999999999,C
2015-08-24,09:44:34.5548910,T,AIG   ,          ,57.630000000000003,2,57.789999999999999,R,T,T,0,2,F   ,100,57.789999999999999,C
2015-08-24,09:44:55.6563080,X,AIG   ,          ,57.770000000000003,1,58.380000000000003,R,X,X,0,2,@   ,100,57.829999999999998,C
2015-08-24,09:44:55.6563080,N,AIG   ,          ,57.770000000000003,6,57.859999999999999,R,N,N,1,2,@   ,100,57.829999999999998,C
2015-08-24,09:45:41.3799020,N,AIG   ,          ,57.340000000000003,2,57.490000000000002,R,N,N,6,2,@   ,100,57.490000000000002,C
2015-08-24,09:48:31.0633790,N,AIG   ,          ,57.329999999999998,10,57.439999999999998,R,N,N,0,2,I   ,74,57.340000000000003,C
2015-08-24,09:49:48.3097740,Y,AIG   ,          ,57.020000000000003,4,57.380000000000003,R,Y,Y,6,2,F   ,100,57.159999999999997,C
2015-08-24,09:56:06.8249910,Y,AIG   ,          ,56.68,1,56.780000000000001,R,Y,Y,0,2,@   ,100,56.759999999999998,C
2015-08-24,09:39:47.9979260,N,AIG   ,          ,54.640000000000001,2,55.119999999999997,R,N,N,6,2,@   ,100,54.960000000000001,C
2015-08-24,09:39:48.0038740,N,AIG   ,          ,54.759999999999998,1,55.460000000000001,R,N,N,6,2,@   ,152,55.119999999999997,C
2015-08-24,09:39:54.1206910,Z,AIG   ,          ,55.710000000000001,1,56.5,R,Z,Z,0,2,@   ,100,56.399999999999999,C
2015-08-24,09:39:57.0609830,T,AIG   ,          ,56.119999999999997,2,56.329999999999998,R,T,T,1,2,F   ,100,56.310000000000002,C
2015-08-24,09:40:38.1485200,N,AIG   ,          ,56.469999999999999,1,56.5,R,N,N,6,2,@   ,100,56.469999999999999,C
2015-08-24,09:40:47.0261250,Y,AIG   ,          ,56.590000000000003,1,56.829999999999998,R,Y,Y,6,2,F   ,100,56.689999999999998,C
2015-08-24,09:40:49.2880230,X,AIG   ,          ,47.520000000000003,1,57.469999999999999,R,X,X,6,2,F   ,100,56.689999999999998,C
2015-08-24,09:41:02.0150620,K,AIG   ,          ,55.289999999999999,2,56.770000000000003,R,K,K,6,2,F   ,272,56.689999999999998,C
2015-08-24,09:41:02.0151900,X,AIG   ,          ,56.57,4,56.829999999999998,R,X,X,0,2,@   ,100,56.68,C
2015-08-24,09:41:28.5398360,J,AIG   ,          ,56.310000000000002,1,56.740000000000002,R,J,J,0,2,@   ,100,56.640000000000001,C
2015-08-24,09:41:28.5547260,Z,AIG   ,          ,56.369999999999997,1,56.68,R,Z,Z,6,2,@   ,100,56.560000000000002,C
2015-08-24,09:43:02.2728190,N,AIG   ,          ,57.460000000000001,5,57.609999999999999,R,N,N,0,2,F   ,100,57.549999999999997,C
2015-08-24,09:43:16.4148100,Z,AIG   ,          ,57.630000000000003,1,57.789999999999999,R,Z,Z,6,2,F   ,100,57.789999999999999,C
2015-08-24,09:43:57.2292660,T,AIG   ,          ,57.560000000000002,2,57.75,R,T,T,6,2,@   ,100,57.689999999999998,C
2015-08-24,09:53:06.0714810,J,AIG   ,          ,56.549999999999997,1,56.649999999999999,R,J,J,0,2,@   ,200,56.609999999999999,C
